Region,City,City / neighborhood,The reference number of the deal,The date of the deal AD,Hijri date of the deal,Real estate classification,Real estate,The number of real estate,the price,Space
Riyadh region,Riyadh,Riyadh/ Valley,19811815,2023/04/26,10/10/1444,residential,piece of ground,1,"2,300,000",366.75
Riyadh region,Riyadh,Riyadh/ Seville,19804660,2023/04/17,26/09/1444,residential,piece of ground,2,"2,300,000",603.14
Riyadh region,Riyadh,Riyadh/Jasmine,19780369,2023/04/13,09/22/1444,residential,piece of ground,1,"2,300,000",450.00
Riyadh region,Riyadh,Riyadh/King Fahd,19773167,2023/04/12,09/21/1444,residential,piece of ground,1,"2,300,000",540.00
Riyadh region,Riyadh,Riyadh/Tunisian,19722752,04/04/04/06,09/15/1444,residential,piece of ground,1,"2,300,000",318.72
Riyadh region,Riyadh,Riyadh/Okaz,19742988,04/04/04,09/18/1444,residential,piece of ground,1,"2,281,400","2,074.42"
Riyadh region,Riyadh,Riyadh/Al -Nahda,19815271,2023/04/27,10/1044/1444,residential,piece of ground,1,"2,268,000",900.00
Riyadh region,Riyadh,Riyadh/ race,20188008,2023/06/14,11/11/1444,residential,piece of ground,1,"2,262,532",489.03
Riyadh region,Riyadh,Riyadh/Malaz,20279996,2023/06/24,12/12/1444,residential,piece of ground,1,"2,250,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Nuzha,20264216,2023/06/21,12/12/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/Press,20125043,2023/06/06,17/11/1444,residential,piece of ground,1,"2,250,000",300.00
Riyadh region,Riyadh,Riyadh/Narcissus,20017324,2023/05/25,05/11/1444,residential,piece of ground,1,"2,250,000",250.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19994002,2023/05/22,02/11/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19993708,2023/05/22,02/11/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19993345,2023/05/22,02/11/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19993537,2023/05/22,02/11/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/Al -Hada,19952641,2023/05/17,10/27/1444,residential,piece of ground,1,"2,250,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Hada,19952549,2023/05/17,10/27/1444,residential,piece of ground,1,"2,250,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Rawabi,19889339,2023/05/10,10/20/1444,residential,piece of ground,1,"2,250,000",750.00
Riyadh region,Riyadh,Riyadh/Light,19893937,2023/05/10,10/20/1444,residential,piece of ground,1,"2,250,000",900.00
Riyadh region,Riyadh,Riyadh/Al -Badi'ah,19841320,2023/05/03,13/10/1444,residential,piece of ground,2,"2,250,000","1,250.00"
Riyadh region,Riyadh,Riyadh/Olaya,19769792,2023/04/12,09/21/1444,residential,piece of ground,1,"2,250,000",540.00
Riyadh region,Riyadh,Riyadh/Cordoba,19760066,2023/04/11,09/1444/1444,residential,piece of ground,1,"2,250,000",450.00
Riyadh region,Riyadh,Riyadh/Press,19738198,04/04/04,09/18/1444,residential,piece of ground,1,"2,250,000",375.00
Riyadh region,Riyadh,Riyadh/King Abdullah,19682809,2023/04/01,10/09/1444,residential,piece of ground,1,"2,249,685",499.93
Riyadh region,Riyadh,Riyadh/Al -Safa,19806226,2023/04/18,09/27/1444,residential,piece of ground,1,"2,248,125",681.25
Riyadh region,Riyadh,Riyadh/Palm,20258901,2023/06/21,12/12/1444,residential,piece of ground,1,"2,242,200",341.00
Riyadh region,Riyadh,Riyadh/dew,20081564,2023/06/01,11/12/1444,residential,piece of ground,1,"2,240,000",800.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20073097,2023/06/01,11/12/1444,residential,piece of ground,1,"2,240,000",360.00
Riyadh region,Riyadh,Riyadh/dew,20090197,2023/06/03,14/11/1444,residential,piece of ground,1,"2,233,697",825.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20248711,2023/06/20,12/12/1444,residential,piece of ground,2,"2,232,490",649.80
Riyadh region,Riyadh,Riyadh/Narcissus,20097492,2023/06/04,15/15/1444,residential,piece of ground,1,"2,231,565",421.05
Riyadh region,Riyadh,Riyadh/Okaz,19752250,2023/04/10,09/1444/1444,residential,piece of ground,1,"2,229,275","2,004.76"
Riyadh region,Riyadh,Riyadh/Okaz,19759695,2023/04/11,09/1444/1444,residential,piece of ground,1,"2,227,765","2,004.48"
Riyadh region,Riyadh,Riyadh/Okaz,19759153,2023/04/11,09/1444/1444,residential,piece of ground,1,"2,227,765","2,004.20"
Riyadh region,Riyadh,Riyadh/dew,20082270,2023/06/01,11/12/1444,residential,piece of ground,1,"2,227,500",337.50
Riyadh region,Riyadh,Riyadh/Al -Mulka,20227509,2023/06/20,12/12/1444,residential,piece of ground,1,"2,223,000",370.50
Riyadh region,Riyadh,Riyadh/Al -Aqiq,19727968,04/04/04/06,09/15/1444,residential,piece of ground,1,"2,222,000",312.50
Riyadh region,Riyadh,Riyadh/Narcissus,19844576,2023/05/07,17/10/1444,residential,piece of ground,1,"2,218,400",472.05
Riyadh region,Riyadh,Riyadh/Spring,19939030,2023/05/16,10/26/1444,residential,piece of ground,1,"2,214,240",433.35
Riyadh region,Riyadh,Riyadh/Al -Hamra,20123462,2023/06/06,17/11/1444,residential,piece of ground,1,"2,212,500",700.00
Riyadh region,Riyadh,Riyadh/Al -Hamra,20123747,2023/06/06,17/11/1444,residential,piece of ground,1,"2,212,500",700.00
Riyadh region,Riyadh,Riyadh/Narcissus,19798077,2023/04/16,09/25/1444,residential,piece of ground,1,"2,210,781",413.23
Riyadh region,Riyadh,Riyadh/Okaz,19743554,2023/04/10,09/1444/1444,residential,piece of ground,1,"2,205,500","2,005.04"
Riyadh region,Riyadh,Riyadh/Al -Mourouj,20282693,2023/06/25,12/12/1444,residential,piece of ground,1,"2,200,000",425.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20222056,2023/06/19,01/12/1444,residential,piece of ground,1,"2,200,000",300.00
Riyadh region,Riyadh,Riyadh/Olaya,20195355,2023/06/15,26/11/1444,residential,piece of ground,1,"2,200,000",672.00
Riyadh region,Riyadh,Riyadh/Al -Bad,20188424,2023/06/14,11/11/1444,residential,piece of ground,1,"2,200,000",274.46
Riyadh region,Riyadh,Riyadh/Olaya,20172173,2023/06/12,23/11/1444,residential,piece of ground,1,"2,200,000",520.00
Riyadh region,Riyadh,Riyadh/Al -Muzali,20134107,2023/06/07,11/18/1444,residential,piece of ground,1,"2,200,000",570.08
Riyadh region,Riyadh,Riyadh/Al -Zahraa,20125892,2023/06/06,17/11/1444,residential,piece of ground,2,"2,200,000",562.50
Riyadh region,Riyadh,Riyadh/Al -Rawabi,20072432,2023/05/31,11/11/1444,residential,piece of ground,1,"2,200,000",300.00
Riyadh region,Riyadh,Riyadh/ race,20025844,2023/05/26,06/11/1444,residential,piece of ground,1,"2,200,000",400.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20011416,2023/05/24,04/11/1444,residential,piece of ground,2,"2,200,000",649.80
Riyadh region,Riyadh,Riyadh/Al -Awali,20002864,2023/05/24,04/11/1444,residential,piece of ground,1,"2,200,000","1,288.20"
Riyadh region,Riyadh,Riyadh/Narcissus,19984629,2023/05/21,01/11/1444,residential,piece of ground,1,"2,200,000",495.00
Riyadh region,Riyadh,Riyadh/Narcissus,19856772,2023/05/07,17/10/1444,residential,piece of ground,1,"2,200,000",428.21
Riyadh region,Riyadh,Riyadh/Yarmouk,19816366,2023/04/30,10/10/1444,residential,piece of ground,1,"2,200,000",500.00
Riyadh region,Riyadh,Riyadh/Mansoura,19756482,2023/04/11,09/1444/1444,residential,piece of ground,1,"2,200,000",750.00
Riyadh region,Riyadh,Riyadh/ race,19692204,04/04/04/02,09/1444/1444,residential,piece of ground,1,"2,200,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Mursalat,20046974,2023/05/29,09/11/1444,residential,piece of ground,1,"2,197,194",543.00
Riyadh region,Riyadh,Riyadh/Al -Aqiq,20062786,2023/05/31,11/11/1444,residential,piece of ground,1,"2,196,000",400.00
Riyadh region,Riyadh,Riyadh/Narcissus,19747079,2023/04/10,09/1444/1444,residential,piece of ground,1,"2,194,947",591.63
Riyadh region,Riyadh,Riyadh/Al -Safa,19708450,04/04/04/04,13/09/1444,residential,piece of ground,1,"2,188,725",663.25
Riyadh region,Riyadh,Riyadh/Cordoba,19907000,2023/05/11,10/21444,residential,piece of ground,1,"2,187,500",437.50
Riyadh region,Riyadh,Riyadh/Azizia,20023288,2023/05/25,05/11/1444,residential,piece of ground,1,"2,175,000",912.50
Riyadh region,Riyadh,Riyadh/Kindergarten,20262688,2023/06/21,12/12/1444,residential,piece of ground,1,"2,170,000",630.00
Riyadh region,Riyadh,Riyadh/dew,20166678,2023/06/11,11/22/1444,residential,piece of ground,1,"2,170,000",775.00
Riyadh region,Riyadh,Riyadh/dew,20166715,2023/06/11,11/22/1444,residential,piece of ground,1,"2,170,000",775.00
Riyadh region,Riyadh,Riyadh/dew,20115179,2023/06/05,16/11/1444,residential,piece of ground,1,"2,170,000",775.00
Riyadh region,Riyadh,Riyadh/Al -Manar,20284310,2023/06/25,12/12/1444,residential,piece of ground,1,"2,166,667",625.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20204321,2023/06/18,29/11/1444,residential,piece of ground,1,"2,160,000","1,200.00"
Riyadh region,Riyadh,Riyadh/Narcissus,19700435,2023/04/03,1244/12/1444,residential,piece of ground,1,"2,160,000",450.00
Riyadh region,Riyadh,Riyadh/Narcissus,19700412,2023/04/03,1244/12/1444,residential,piece of ground,1,"2,160,000",450.00
Riyadh region,Riyadh,Riyadh/Mahdia,20192904,2023/06/15,26/11/1444,residential,piece of ground,1,"2,155,000",375.00
Riyadh region,Riyadh,Riyadh/Narcissus,20188073,2023/06/14,11/11/1444,residential,piece of ground,1,"2,150,000",297.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20058476,2023/05/30,11/11/1444,residential,piece of ground,1,"2,150,000",312.50
Riyadh region,Riyadh,Riyadh/Al -Mourouj,19821524,2023/04/30,10/10/1444,residential,piece of ground,1,"2,150,000",312.00
Riyadh region,Riyadh,Riyadh/Olaya,19850639,04/05/2023,1444/10/1444,residential,piece of ground,1,"2,145,000",550.00
Riyadh region,Riyadh,Riyadh/Kindergarten,19773024,2023/04/12,09/21/1444,residential,piece of ground,1,"2,145,000",625.00
Riyadh region,Riyadh,Riyadh/Narcissus,19806956,2023/04/19,28/09/1444,residential,piece of ground,1,"2,140,000",442.00
Riyadh region,Riyadh,Riyadh/Narcissus,19982712,2023/05/21,01/11/1444,residential,piece of ground,1,"2,139,568",415.45
Riyadh region,Riyadh,Riyadh/Tunisian,20012229,2023/05/25,05/11/1444,residential,piece of ground,1,"2,128,000",560.00
Riyadh region,Riyadh,Riyadh/Tunisian,20012292,2023/05/25,05/11/1444,residential,piece of ground,1,"2,128,000",560.00
Riyadh region,Riyadh,Riyadh/Tunisian,20012170,2023/05/25,05/11/1444,residential,piece of ground,1,"2,128,000",560.00
Riyadh region,Riyadh,Riyadh/Janadriyah,20019664,2023/05/25,05/11/1444,residential,piece of ground,1,"2,118,696",405.00
Riyadh region,Riyadh,Riyadh/Al Rayyan,19986816,2023/05/22,02/11/1444,residential,piece of ground,1,"2,112,503",575.00
Riyadh region,Riyadh,Riyadh/resort,19763269,2023/04/16,09/25/1444,residential,piece of ground,1,"2,105,000",500.00
Riyadh region,Riyadh,Riyadh/Tunisian,20272187,2023/06/22,04/12/1444,residential,piece of ground,1,"2,100,000",325.00
Riyadh region,Riyadh,Riyadh/ Seville,20227741,2023/06/20,12/12/1444,residential,piece of ground,1,"2,100,000",500.00
Riyadh region,Riyadh,Riyadh/Araqa,20195965,2023/06/15,26/11/1444,residential,piece of ground,1,"2,100,000",600.00
Riyadh region,Riyadh,Riyadh/Al -Mursalat,20120071,2023/06/06,17/11/1444,residential,piece of ground,1,"2,100,000",340.00
Riyadh region,Riyadh,Riyadh/Muhammadiyah,20099741,2023/06/04,15/15/1444,residential,piece of ground,1,"2,100,000",270.00
Riyadh region,Riyadh,Riyadh/Olaya,20080407,2023/06/01,11/12/1444,residential,piece of ground,1,"2,100,000",494.00
Riyadh region,Riyadh,Riyadh/Tuwaiq,19936306,2023/05/16,10/26/1444,residential,piece of ground,1,"2,100,000",930.00
Riyadh region,Riyadh,Riyadh/Mahdia,19926412,2023/05/14,24/10/1444,residential,piece of ground,1,"2,100,000",450.00
Riyadh region,Riyadh,Riyadh/Al -Mourouj,19836507,2023/05/02,10/12/1444,residential,piece of ground,1,"2,100,000",375.00
Riyadh region,Riyadh,Riyadh/Press,19716988,2023/04/05,1444/09/14,residential,piece of ground,1,"2,100,000",360.00
Riyadh region,Riyadh,Riyadh/dew,19705080,04/04/04/04,13/09/1444,residential,piece of ground,1,"2,100,000",312.50
Riyadh region,Riyadh,Riyadh/Mahdia,20068402,2023/05/31,11/11/1444,residential,piece of ground,1,"2,091,606",225.00
Riyadh region,Riyadh,Riyadh/Sand,20077928,2023/06/01,11/12/1444,residential,piece of ground,1,"2,090,859",300.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20220557,2023/06/19,01/12/1444,residential,piece of ground,1,"2,081,520",693.84
Riyadh region,Riyadh,Riyadh/ Valley,20176954,2023/06/13,24/11/1444,residential,piece of ground,1,"2,080,000",228.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20097043,2023/06/04,15/15/1444,residential,piece of ground,1,"2,077,800",692.60
Riyadh region,Riyadh,Riyadh/Al -Nahda,20096946,2023/06/04,15/15/1444,residential,piece of ground,1,"2,074,140",691.38
Riyadh region,Riyadh,Riyadh/Jasmine,19978980,2023/05/21,01/11/1444,residential,piece of ground,1,"2,055,032",325.00
Riyadh region,Riyadh,Riyadh/Jasmine,19978898,2023/05/21,01/11/1444,residential,piece of ground,1,"2,055,032",325.00
Riyadh region,Riyadh,Riyadh/ race,20188065,2023/06/14,11/11/1444,residential,piece of ground,1,"2,052,300",443.59
Riyadh region,Riyadh,Riyadh/Mahdia,20280313,2023/06/24,12/12/1444,residential,piece of ground,1,"2,050,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Nafl,20268346,2023/06/22,04/12/1444,residential,piece of ground,1,"2,050,000",366.18
Riyadh region,Riyadh,Riyadh/Cordoba,20241975,2023/06/20,12/12/1444,residential,piece of ground,1,"2,050,000",360.00
Riyadh region,Riyadh,Riyadh/Jasmine,20169747,2023/06/12,23/11/1444,residential,piece of ground,1,"2,050,000",375.00
Riyadh region,Riyadh,Riyadh/Tuwaiq,20068089,2023/05/31,11/11/1444,residential,piece of ground,1,"2,050,000",840.00
Riyadh region,Riyadh,Riyadh/Narcissus,19992874,2023/05/22,02/11/1444,residential,piece of ground,1,"2,050,000",450.00
Riyadh region,Riyadh,Riyadh/Narcissus,19992808,2023/05/22,02/11/1444,residential,piece of ground,1,"2,050,000",450.00
Riyadh region,Riyadh,Riyadh/Model,19952408,2023/05/17,10/27/1444,residential,piece of ground,1,"2,050,000",504.00
Riyadh region,Riyadh,Riyadh/Nammar,19838857,2023/05/02,10/12/1444,residential,piece of ground,1,"2,050,000","2,158.08"
Riyadh region,Riyadh,Riyadh/Al -Nahda,19772733,2023/04/12,09/21/1444,residential,piece of ground,1,"2,050,000",565.00
Riyadh region,Riyadh,Riyadh/Olaya,19850596,04/05/2023,1444/10/1444,residential,piece of ground,1,"2,047,500",525.00
Riyadh region,Riyadh,Riyadh/dew,20100450,2023/06/04,15/15/1444,residential,piece of ground,1,"2,046,825",620.25
Riyadh region,Riyadh,Riyadh/Al -Bad,19841065,2023/05/03,13/10/1444,residential,piece of ground,1,"2,044,322",362.50
Riyadh region,Riyadh,Riyadh/Cordoba,19990324,2023/05/22,02/11/1444,residential,piece of ground,1,"2,042,410",405.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20267652,2023/06/22,04/12/1444,residential,piece of ground,1,"2,040,000",375.00
Riyadh region,Riyadh,Riyadh/Narcissus,20184020,2023/06/14,11/11/1444,residential,piece of ground,1,"2,039,475",510.97
Riyadh region,Riyadh,Riyadh/Narcissus,20184247,2023/06/14,11/11/1444,residential,piece of ground,1,"2,037,719",510.53
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20049356,2023/05/29,09/11/1444,residential,piece of ground,1,"2,032,800",616.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,19800732,2023/04/17,26/09/1444,residential,piece of ground,1,"2,032,800",616.00
Riyadh region,Riyadh,Riyadh/Sulaymaniyah,20160595,2023/06/11,11/22/1444,residential,piece of ground,1,"2,030,800",500.00
Riyadh region,Riyadh,Riyadh/Sand,20021221,2023/05/25,05/11/1444,residential,piece of ground,1,"2,028,962",288.00
Riyadh region,Riyadh,Riyadh/Al -Awali,20080534,2023/06/01,11/12/1444,residential,piece of ground,1,"2,025,000",450.00
Riyadh region,Riyadh,Riyadh/Al -Ghanniyah,20209262,2023/06/19,01/12/1444,residential,piece of ground,1,"2,021,250","4,125.00"
Riyadh region,Riyadh,Riyadh/Jasmine,20023020,2023/05/25,05/11/1444,residential,piece of ground,1,"2,020,000",337.88
Riyadh region,Riyadh,Riyadh/Al -Safa,20125105,2023/06/06,17/11/1444,residential,piece of ground,1,"2,016,000",640.00
Riyadh region,Riyadh,Riyadh/Cordoba,19772805,2023/04/12,09/21/1444,residential,piece of ground,1,"2,008,800",372.00
Riyadh region,Riyadh,Riyadh/ Seville,20135144,2023/06/07,11/18/1444,residential,piece of ground,1,"2,002,577",660.00
Riyadh region,Riyadh,Riyadh/broad,19713407,2023/04/05,1444/09/14,residential,piece of ground,2,"2,002,200","8,008.80"
Riyadh region,Riyadh,Riyadh/Narcissus,19797722,2023/04/16,09/25/1444,residential,piece of ground,1,"2,001,651",377.67
Riyadh region,Riyadh,Riyadh/Al -Suwaidi,20284472,2023/06/25,12/12/1444,residential,piece of ground,1,"2,000,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,20278137,2023/06/23,12/12/1444,residential,piece of ground,1,"2,000,000",437.50
Riyadh region,Riyadh,Riyadh/Mahdia,20278542,2023/06/23,12/12/1444,residential,piece of ground,1,"2,000,000",375.00
Riyadh region,Riyadh,Riyadh/Al Rayyan,20268285,2023/06/22,04/12/1444,residential,piece of ground,1,"2,000,000",780.00
Riyadh region,Riyadh,Riyadh/Al -Fayhaa,20267133,2023/06/22,04/12/1444,residential,piece of ground,1,"2,000,000",760.00
Riyadh region,Riyadh,Riyadh/Jasmine,20235892,2023/06/20,12/12/1444,residential,piece of ground,1,"2,000,000",520.00
Riyadh region,Riyadh,Riyadh/Cordoba,20248353,2023/06/20,12/12/1444,residential,piece of ground,1,"2,000,000",312.00
Riyadh region,Riyadh,Riyadh/Narcissus,20248572,2023/06/20,12/12/1444,residential,piece of ground,1,"2,000,000",280.00
Riyadh region,Riyadh,Riyadh/Tuwaiq,20203849,2023/06/18,29/11/1444,residential,piece of ground,1,"2,000,000",435.00
Riyadh region,Riyadh,Riyadh/Tunisian,20195746,2023/06/15,26/11/1444,residential,piece of ground,1,"2,000,000",375.00
Riyadh region,Riyadh,Riyadh/Yarmouk,20186844,2023/06/14,11/11/1444,residential,piece of ground,1,"2,000,000",625.00
Riyadh region,Riyadh,Riyadh/Kindergarten,20165068,2023/06/11,11/22/1444,residential,piece of ground,1,"2,000,000",750.00
Riyadh region,Riyadh,Riyadh/Sulaymaniyah,20156807,2023/06/10,11/21/1444,residential,piece of ground,1,"2,000,000",390.00
Riyadh region,Riyadh,Riyadh/prosperity,20143552,2023/06/08,19/11/1444,residential,piece of ground,1,"2,000,000",375.00
Riyadh region,Riyadh,Riyadh/ Seville,20135371,2023/06/07,11/18/1444,residential,piece of ground,1,"2,000,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Bad,20114965,2023/06/05,16/11/1444,residential,piece of ground,1,"2,000,000",221.00
Riyadh region,Riyadh,Riyadh/Sand,20089482,2023/06/03,14/11/1444,residential,piece of ground,1,"2,000,000",375.00
Riyadh region,Riyadh,Riyadh/Mahdia,20070954,2023/05/31,11/11/1444,residential,piece of ground,1,"2,000,000",299.25
Riyadh region,Riyadh,Riyadh/Al -Awali,20059099,2023/05/30,11/11/1444,residential,piece of ground,1,"2,000,000",900.00
Riyadh region,Riyadh,Riyadh/East,20010555,2023/05/24,04/11/1444,residential,piece of ground,1,"2,000,000","2,497.64"
Riyadh region,Riyadh,Riyadh/Sand,19984381,2023/05/21,01/11/1444,residential,piece of ground,1,"2,000,000",625.00
Riyadh region,Riyadh,Riyadh/milk,19933994,2023/05/15,10/10/1444,residential,piece of ground,1,"2,000,000",960.00
Riyadh region,Riyadh,Riyadh/martyrs,19896183,2023/05/10,10/20/1444,residential,piece of ground,1,"2,000,000",450.00
Riyadh region,Riyadh,Riyadh/Work,19875979,2023/05/08,10/18/1444,residential,piece of ground,1,"2,000,000",902.30
Riyadh region,Riyadh,Riyadh/Al -Nahda,19846714,04/05/2023,1444/10/1444,residential,piece of ground,1,"2,000,000",840.00
Riyadh region,Riyadh,Riyadh/Al -Nazim,19841303,2023/05/03,13/10/1444,residential,piece of ground,1,"2,000,000","2,500.00"
Riyadh region,Riyadh,Riyadh/Tunisian,19842027,2023/05/03,13/10/1444,residential,piece of ground,1,"2,000,000",355.25
Riyadh region,Riyadh,Riyadh/Umm Al -Hammam,19825250,2023/04/30,10/10/1444,residential,piece of ground,1,"2,000,000",598.00
Riyadh region,Riyadh,Riyadh/lavender,19797118,2023/04/16,09/25/1444,residential,piece of ground,2,"2,000,000","1,500.00"
Riyadh region,Riyadh,Riyadh/Nammar,19781491,2023/04/14,09/23/1444,residential,piece of ground,2,"2,000,000","1,623.58"
Riyadh region,Riyadh,Riyadh/Andalusia,19768776,2023/04/12,09/21/1444,residential,piece of ground,1,"2,000,000",375.00
Riyadh region,Riyadh,Riyadh/King Abdullah,19754676,2023/04/10,09/1444/1444,residential,piece of ground,1,"2,000,000",312.50
Riyadh region,Riyadh,Riyadh/Al -Qadisiyah,19755469,2023/04/10,09/1444/1444,residential,piece of ground,2,"2,000,000",649.80
Riyadh region,Riyadh,Riyadh/Kindergarten,19752141,2023/04/10,09/1444/1444,residential,piece of ground,1,"2,000,000",319.02
Riyadh region,Riyadh,Riyadh/Tunisian,19729212,04/04/04/06,09/15/1444,residential,piece of ground,1,"2,000,000",595.50
Riyadh region,Riyadh,Riyadh/King Fahd,19689492,04/04/04/02,09/1444/1444,residential,piece of ground,1,"2,000,000",500.00
Riyadh region,Riyadh,Riyadh/Kindergarten,19807117,2023/04/19,28/09/1444,residential,piece of ground,1,"1,990,000",675.00
Riyadh region,Riyadh,Riyadh/Narcissus,19798029,2023/04/16,09/25/1444,residential,piece of ground,1,"1,987,500",375.00
Riyadh region,Riyadh,Riyadh/Narcissus,19797862,2023/04/16,09/25/1444,residential,piece of ground,1,"1,987,500",375.00
Riyadh region,Riyadh,Riyadh/Narcissus,19797856,2023/04/16,09/25/1444,residential,piece of ground,1,"1,987,500",375.00
Riyadh region,Riyadh,Riyadh/dew,20181551,2023/06/13,24/11/1444,residential,piece of ground,1,"1,984,832",620.26
Riyadh region,Riyadh,Riyadh/King Abdullah,20106099,2023/06/05,16/11/1444,residential,piece of ground,1,"1,982,343",600.71
Riyadh region,Riyadh,Riyadh/Nammar,20004568,2023/05/23,03/11/1444,residential,piece of ground,1,"1,980,000",900.00
Riyadh region,Riyadh,Riyadh/Narcissus,20117867,2023/06/06,17/11/1444,residential,piece of ground,1,"1,977,780",282.54
Riyadh region,Riyadh,Riyadh/Narcissus,20098561,2023/06/04,15/15/1444,residential,piece of ground,1,"1,974,623",265.50
Riyadh region,Riyadh,Riyadh/Happiness,20266529,2023/06/22,04/12/1444,residential,piece of ground,1,"1,958,376",815.99
Riyadh region,Riyadh,Riyadh/Tunisian,20098642,2023/06/04,15/15/1444,residential,piece of ground,1,"1,954,878",312.00
Riyadh region,Riyadh,Riyadh/Jasmine,19761821,2023/04/11,09/1444/1444,residential,piece of ground,1,"1,953,524",330.00
Riyadh region,Riyadh,Riyadh/King Fahd,20263646,2023/06/21,12/12/1444,residential,piece of ground,1,"1,950,000",375.00
Riyadh region,Riyadh,Riyadh/ Al -Bayan,20195153,2023/06/15,26/11/1444,residential,piece of ground,1,"1,950,000",437.50
Riyadh region,Riyadh,Riyadh/Sulaymaniyah,20185126,2023/06/14,11/11/1444,residential,piece of ground,1,"1,950,000",600.00
Riyadh region,Riyadh,Riyadh/ Umm Al -Hamam Al -Gharbi,19769617,2023/04/13,09/22/1444,residential,piece of ground,2,"1,950,000",635.60
Riyadh region,Riyadh,Riyadh/Olaya,19746598,04/04/04,09/18/1444,residential,piece of ground,1,"1,950,000",520.00
Riyadh region,Riyadh,Riyadh/Yarmouk,19705209,04/04/04/04,13/09/1444,residential,piece of ground,1,"1,950,000",600.00
Riyadh region,Riyadh,Riyadh/Narcissus,20020405,2023/05/25,05/11/1444,residential,piece of ground,1,"1,949,870",367.90
Riyadh region,Riyadh,Riyadh/Goodness,19717253,2023/04/05,1444/09/14,residential,piece of ground,1,"1,948,896","1,624.08"
Riyadh region,Riyadh,Riyadh/Cordoba,19855511,2023/05/07,17/10/1444,residential,piece of ground,1,"1,944,214",669.50
Riyadh region,Riyadh,Riyadh/Nammar,19779622,2023/04/13,09/22/1444,residential,piece of ground,1,"1,935,000",900.00
Riyadh region,Riyadh,Riyadh/Umm Al -Hammam,19888957,2023/05/10,10/20/1444,residential,piece of ground,1,"1,931,683",359.35
Riyadh region,Riyadh,Riyadh/Sand,19803466,2023/04/17,26/09/1444,residential,piece of ground,1,"1,930,600",575.54
Riyadh region,Riyadh,Riyadh/Al -Nahda,20070767,2023/05/31,11/11/1444,residential,piece of ground,1,"1,929,225",900.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20070700,2023/05/31,11/11/1444,residential,piece of ground,1,"1,929,225",720.00
Riyadh region,Riyadh,Riyadh/Tunisian,20070668,2023/05/31,11/11/1444,residential,piece of ground,1,"1,924,000",250.00
Riyadh region,Riyadh,Riyadh/dew,20258996,2023/06/21,12/12/1444,residential,piece of ground,1,"1,923,443",390.00
Riyadh region,Riyadh,Riyadh/Olaya,19732870,2023/04/07,09/16/1444,residential,piece of ground,1,"1,922,000",300.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,19856377,2023/05/07,17/10/1444,residential,piece of ground,1,"1,914,000",660.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,19856362,2023/05/07,17/10/1444,residential,piece of ground,1,"1,914,000",660.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,19856324,2023/05/07,17/10/1444,residential,piece of ground,1,"1,914,000",660.00
Riyadh region,Riyadh,Riyadh/Jerusalem,20069424,2023/05/31,11/11/1444,residential,piece of ground,1,"1,912,500",450.00
Riyadh region,Riyadh,Riyadh/Narcissus,20184138,2023/06/14,11/11/1444,residential,piece of ground,1,"1,905,405",477.38
Riyadh region,Riyadh,Riyadh/Narcissus,20184079,2023/06/14,11/11/1444,residential,piece of ground,1,"1,905,285",477.35
Riyadh region,Riyadh,Riyadh/Jerusalem,20136026,2023/06/07,11/18/1444,residential,piece of ground,1,"1,905,000",375.00
Riyadh region,Riyadh,Riyadh/Happiness,20260024,2023/06/21,12/12/1444,residential,piece of ground,1,"1,904,352",793.48
Riyadh region,Riyadh,Riyadh/Badr,19978609,2023/05/21,01/11/1444,residential,piece of ground,1,"1,901,393",375.00
